original_concept_name_gm	diff_1_cc	diff_2_cc	concept_id	concept_name	diff_3_cc	diff_4_cn_who
Angeborene Fistel der zerebralen Gefäße	Q28.31	Q28.3	2007541	Sonstige Fehlbildungen der zerebralen Gefäße	(null)	(null)
Chronische multifokale Osteomyelitis: Unterarm [Radius, Ulna, Handgelenk]	M86.33	M86.3	2005852	Chronische multifokale Osteomyelitis	(null)	(null)
Juvenile Arthritis bei Psoriasis: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes]	M09.07	M09.0	2005386	Juvenile Arthritis bei Psoriasis	(null)	(null)
Sonstige Spondylose: Lumbosakralbereich	M47.87	M47.8	2005619	Sonstige Spondylose	(null)	(null)
Verbrennungen von 70-79 % der Körperoberfläche: 60-69 % Verbrennungen 3. Grades	T31.76	T31.7	2009389	Verbrennungen von 70-79 % der Körperoberfläche	(null)	(null)
Sonstige angeborene Fehlbildungen der Herzsepten	Q21.88	Q21.8	2007478	Sonstige angeborene Fehlbildungen der Herzsepten	(null)	(null)
Idiopathische Skoliose beim Jugendlichen: Zervikothorakalbereich	M41.13	M41.1	2005584	Idiopathische Skoliose beim Jugendlichen	(null)	(null)
Verletzung des lumbosakralen Rückenmarkes: Höhe nicht näher bezeichnet	S34.70	S34.7	(null)	(null)	S34	Verletzung der Nerven und des lumbalen Rückenmarkes in Höhe des Abdomens, der Lumbosakralgegend und des Beckens
Pseudosarkomatöse Fibromatose: Unterschenkel [Fibula, Tibia, Kniegelenk]	M72.46	M72.4	2005750	Pseudosarkomatöse Fibromatose	(null)	(null)
Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet	E11.75	E11.7	2012213	Diabetes mellitus, Typ 2: Mit multiplen Komplikationen	(null)	(null)
Verätzungen von 90 % oder mehr der Körperoberfläche: 20-29 % Verätzungen 3. Grades	T32.92	T32.9	2009402	Verätzungen von 90 % oder mehr der Körperoberfläche	(null)	(null)
Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet: Insektenbiss oder -stich (ungiftig)	S00.93	S00.9	2008455	Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet	(null)	(null)
Ermüdungsbruch eines Wirbels: Okzipito-Atlanto-Axialbereich	M48.41	M48.4	2005626	Ermüdungsbruch eines Wirbels	(null)	(null)
Gelenkkontraktur: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]	M24.51	M24.5	2005508	Gelenkkontraktur	(null)	(null)
Varusdeformität, anderenorts nicht klassifiziert: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]	M21.14	M21.1	2005475	Varusdeformität, anderenorts nicht klassifiziert	(null)	(null)
Bleigicht: Nicht näher bezeichnete Lokalisation	M10.19	M10.1	2005392	Bleigicht	(null)	(null)
